allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
BOLA301001,anchor2_last,84,84,24,2.9311,2.9311,2.8225,3.71
SLA10702,anchor2_last,29,29,21,2.5495,2.5495,2.6152,-2.58
HLAA01020101,anchor2_last,81,81,53,2.3276,2.3276,2.492,-7.06
H2DK,anchor2_last,6,6,4,2.5451,2.5451,2.4333,4.39
HLAB4036,anchor2_last,10,10,4,2.0553,2.0553,2.4333,-18.4
HLAA7411,anchor2_last,4,4,3,2.4333,2.4333,2.3591,3.05
HLAB15040101,anchor2_last,7,7,3,2.04,2.04,2.3591,-15.64
HLAB3911,anchor2_last,4,4,3,2.4333,2.4333,2.3591,3.05
HLAC0617,anchor2_last,6,6,3,2.3592,2.3592,2.3591,0.0
HLAA6824,anchor2_last,8,8,5,2.3025,2.3025,2.3227,-0.87
BOLA200801,anchor2_last,12,12,11,2.3165,2.3165,2.3067,0.42
BOLA104201,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
H2LQ,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
HLAA0213,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
HLAA2404,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
HLAA6805,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
HLAA681202,anchor2_last,7,7,4,2.3128,2.3128,2.3025,0.44
HLAB15302,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB180701,anchor2_last,4,4,2,1.9559,1.9559,2.3025,-17.72
HLAB2710,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB35149,anchor2_last,3,3,2,1.897,1.897,2.3025,-21.37
HLAB4106,anchor2_last,13,13,8,2.3055,2.3055,2.3025,0.13
HLAB5005,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
HLAB5121,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
HLAC0130,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
HLAC0381,anchor2_last,7,7,4,1.9915,1.9915,2.3025,-15.62
HLAC0409,anchor2_last,3,3,2,1.897,1.897,2.3025,-21.37
HLAC07185,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
